dataset,state,farm_type,year,value,unit,measure_type
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Goat Farm,2016,662,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Goat Farm,2017,726,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Goat Farm,2018,782,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Pig Farm,2015,0,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Pig Farm,2016,0,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Pig Farm,2017,0,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Pig Farm,2018,0,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Quail Meat Farm,2015,17,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Quail Meat Farm,2016,17,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Quail Meat Farm,2017,21,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Kelantan,Quail Meat Farm,2018,22,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Beef Cattle Farm,2015,1383,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Beef Cattle Farm,2016,1446,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Beef Cattle Farm,2017,1492,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Beef Cattle Farm,2018,1276,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Buffalo Farm,2015,216,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Buffalo Farm,2016,219,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Buffalo Farm,2017,221,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Buffalo Farm,2018,222,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Chicken Meat Farm,2015,105,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Chicken Meat Farm,2016,103,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Chicken Meat Farm,2017,103,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Chicken Meat Farm,2018,107,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Duck Meat Farm,2015,15,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Duck Meat Farm,2016,15,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Duck Meat Farm,2017,15,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Duck Meat Farm,2018,5,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Goat Farm,2015,496,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Goat Farm,2016,542,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Goat Farm,2017,574,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Goat Farm,2018,582,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Pig Farm,2015,36,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Pig Farm,2016,36,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Pig Farm,2017,36,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Pig Farm,2018,79,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Quail Meat Farm,2015,9,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Quail Meat Farm,2016,8,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Quail Meat Farm,2017,8,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Melaka,Quail Meat Farm,2018,2,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Beef Cattle Farm,2015,740,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Beef Cattle Farm,2016,843,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Beef Cattle Farm,2017,925,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Beef Cattle Farm,2018,1002,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Buffalo Farm,2015,152,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Buffalo Farm,2016,162,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Buffalo Farm,2017,167,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Buffalo Farm,2018,166,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Chicken Meat Farm,2015,189,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Chicken Meat Farm,2016,173,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Chicken Meat Farm,2017,173,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Chicken Meat Farm,2018,173,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Duck Meat Farm,2015,20,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Duck Meat Farm,2016,0,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Duck Meat Farm,2017,0,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Duck Meat Farm,2018,0,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Goat Farm,2015,415,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Goat Farm,2016,470,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Goat Farm,2017,525,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Goat Farm,2018,553,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Pig Farm,2015,1,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Pig Farm,2016,1,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Pig Farm,2017,1,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Pig Farm,2018,4,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Quail Meat Farm,2015,12,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Quail Meat Farm,2016,9,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Quail Meat Farm,2017,3,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Negeri Sembilan,Quail Meat Farm,2018,3,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Beef Cattle Farm,2015,1487,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Beef Cattle Farm,2016,1713,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Beef Cattle Farm,2017,1874,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Beef Cattle Farm,2018,1889,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Buffalo Farm,2015,259,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Buffalo Farm,2016,298,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Buffalo Farm,2017,324,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Buffalo Farm,2018,332,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Chicken Meat Farm,2015,198,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Chicken Meat Farm,2016,205,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Chicken Meat Farm,2017,209,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Chicken Meat Farm,2018,193,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Duck Meat Farm,2015,8,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Duck Meat Farm,2016,12,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Duck Meat Farm,2017,11,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Duck Meat Farm,2018,10,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Goat Farm,2015,532,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Goat Farm,2016,636,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Goat Farm,2017,705,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Goat Farm,2018,755,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Pig Farm,2015,1,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Pig Farm,2016,1,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Pig Farm,2017,1,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Pig Farm,2018,3,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Quail Meat Farm,2015,21,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Quail Meat Farm,2016,20,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Quail Meat Farm,2017,21,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pahang,Quail Meat Farm,2018,27,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Beef Cattle Farm,2015,1601,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Beef Cattle Farm,2016,1724,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Beef Cattle Farm,2017,1806,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Beef Cattle Farm,2018,1959,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Buffalo Farm,2015,376,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Buffalo Farm,2016,399,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Buffalo Farm,2017,410,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Buffalo Farm,2018,446,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Chicken Meat Farm,2015,380,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Chicken Meat Farm,2016,365,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Chicken Meat Farm,2017,363,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Chicken Meat Farm,2018,349,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Duck Meat Farm,2015,101,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Duck Meat Farm,2016,90,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Duck Meat Farm,2017,82,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Duck Meat Farm,2018,74,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Goat Farm,2015,1157,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Goat Farm,2016,1238,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Goat Farm,2017,1342,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Goat Farm,2018,1482,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Pig Farm,2015,122,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Pig Farm,2016,119,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Pig Farm,2017,115,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Pig Farm,2018,128,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Quail Meat Farm,2015,9,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Quail Meat Farm,2016,9,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Quail Meat Farm,2017,9,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perak,Quail Meat Farm,2018,3,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Beef Cattle Farm,2015,217,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Beef Cattle Farm,2016,218,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Beef Cattle Farm,2017,219,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Beef Cattle Farm,2018,297,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Buffalo Farm,2015,6,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Buffalo Farm,2016,6,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Buffalo Farm,2017,6,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Buffalo Farm,2018,6,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Chicken Meat Farm,2015,13,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Chicken Meat Farm,2016,14,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Chicken Meat Farm,2017,13,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Chicken Meat Farm,2018,9,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Duck Meat Farm,2015,8,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Duck Meat Farm,2016,5,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Duck Meat Farm,2017,3,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Duck Meat Farm,2018,6,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Goat Farm,2015,112,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Goat Farm,2016,114,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Goat Farm,2017,117,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Goat Farm,2018,191,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Pig Farm,2015,1,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Pig Farm,2016,1,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Pig Farm,2017,0,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Pig Farm,2018,1,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Quail Meat Farm,2015,4,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Quail Meat Farm,2016,4,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Quail Meat Farm,2017,6,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Perlis,Quail Meat Farm,2018,7,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Beef Cattle Farm,2015,590,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Beef Cattle Farm,2016,646,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Beef Cattle Farm,2017,698,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Beef Cattle Farm,2018,651,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Buffalo Farm,2015,32,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Buffalo Farm,2016,35,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Buffalo Farm,2017,38,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Buffalo Farm,2018,47,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Chicken Meat Farm,2015,81,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Chicken Meat Farm,2016,90,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Chicken Meat Farm,2017,91,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Chicken Meat Farm,2018,89,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Duck Meat Farm,2015,11,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Duck Meat Farm,2016,11,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Duck Meat Farm,2017,11,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Duck Meat Farm,2018,9,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Goat Farm,2015,371,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Goat Farm,2016,420,farms,count
TOTAL_REGISTRATIONS_BY_COMMODITY_2015_2018,Pulau Pinang,Goat Farm,2017,468,farms,count
